tota_name	tota_number	date_signed	p1	p2	year	decade	region	composition	crossregional	wto
Turkey - Israel	99	1996-03-14	ISR	TUR	1996	199	Middle East; Europe	Bilateral	Yes	Yes
EU - Tunisia	98	1995-07-07	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE TUN		1995	199	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Eurasian Economic Community (EAEC)	97	1996-03-29	BLR KAZ KGZ RUS TJK		1996	199	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Kyrgyz Republic - Uzbekistan	96	1996-12-24	KGZ	UZB	1996	199	Commonwealth of Independent States (CIS)	Bilateral	No	No
Kyrgyz Republic - Ukraine	95	1995-05-26	KGZ	UKR	1995	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Kyrgyz Republic - Russian Federation	94	1992-10-08	KGZ	RUS	1992	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Kyrgyz Republic - Moldova	93	1995-05-16	KGZ	MDA	1995	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
EFTA - Palestinian Authority	92	1998-11-30	CHE ISL LIE NOR PSE		1998	199	Europe; Middle East	Bilateral; One Party is an RTA	Yes	No
Kyrgyz Republic - Kazakhstan	91	1995-06-22	KAZ	KGZ	1995	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Commonwealth of Independent States (CIS)	90	1994-04-15	ARM AZE BLR GEO KAZ KGZ MDA RUS TJK UKR UZB		1994	199	Commonwealth of Independent States (CIS)	Plurilateral	No	No
India - Singapore	9	2005-06-29	IND	SGP	2005	200	West Asia; East Asia	Bilateral	Yes	Yes
Melanesian Spearhead Group (MSG)	89	1993-07-22	FJI PNG SLB VUT		1993	199	Oceania	Plurilateral	No	Yes
EFTA - Morocco	87	1997-06-19	CHE ISL LIE MAR NOR		1997	199	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
East African Community (EAC)	85	1999-11-30	KEN TZA UGA		1999	199	Africa	Plurilateral	No	Yes
EU - Israel	84	1995-11-20	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ISR ITA LUX NLD PRT SWE		1995	199	Europe; Middle East	Bilateral; One Party is an RTA	Yes	Yes
EU - Morocco	83	1996-02-26	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX MAR NLD PRT SWE		1996	199	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
EU - South Africa	82	1999-10-11	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE ZAF		1999	199	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Kyrgyz Republic - Armenia	81	1994-07-04	ARM	KGZ	1994	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Turkey - Former Yugoslav Republic of Macedonia	80	1999-09-07	MKD	TUR	1999	199	Europe	Bilateral	No	Yes
Trans-Pacific Strategic Economic Partnership	8	2005-07-18	BRN CHL NZL SGP		2005	200	East Asia; South America; Oceania	Plurilateral	Yes	Yes
EFTA - Former Yugoslav Republic of Macedonia	79	2000-06-19	CHE ISL LIE MKD NOR		2000	200	Europe	Bilateral; One Party is an RTA	No	Yes
Georgia - Ukraine	78	1995-01-09	GEO	UKR	1995	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Georgia - Turkmenistan	77	1996-03-20	GEO	TKM	1996	199	Commonwealth of Independent States (CIS)	Bilateral	No	No
Georgia - Russian Federation	76	1994-02-03	GEO	RUS	1994	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Georgia - Kazakhstan	75	1997-11-11	GEO	KAZ	1997	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Georgia - Azerbaijan	74	1996-03-08	AZE	GEO	1996	199	Commonwealth of Independent States (CIS)	Bilateral	No	No
Georgia - Armenia	73	1995-08-14	ARM	GEO	1995	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Israel - Mexico	72	2000-04-10	ISR	MEX	2000	200	Middle East; North America	Bilateral	Yes	Yes
EFTA - Mexico	70	2000-11-27	CHE ISL LIE MEX NOR		2000	200	Europe; North America	Bilateral; One Party is an RTA	Yes	Yes
Chile - China	7	2005-11-18	CHL	CHN	2005	200	South America; East Asia	Bilateral	Yes	Yes
New Zealand - Singapore	69	2000-11-14	NZL	SGP	2000	200	Oceania; East Asia	Bilateral	Yes	Yes
EU - Former Yugoslav Republic of Macedonia	68	2001-04-09	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX MKD NLD PRT SWE		2001	200	Europe	Bilateral; One Party is an RTA	No	Yes
EFTA - Croatia	67	2001-06-21	CHE HRV ISL LIE NOR		2001	200	Europe	Plurilateral	No	Yes
EFTA - Jordan	66	2001-06-21	CHE ISL JOR LIE NOR		2001	200	Europe; Middle East	Bilateral; One Party is an RTA	Yes	Yes
EU - Mexico	65	1997-12-08	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX MEX NLD PRT SWE		1997	199	Europe; North America	Bilateral; One Party is an RTA	Yes	Yes
India - Sri Lanka	64	1998-12-28	IND	LKA	1998	199	West Asia	Bilateral	No	Yes
US - Jordan	63	2000-10-24	JOR	USA	2000	200	Middle East; North America	Bilateral	Yes	Yes
Japan - Singapore	62	2002-01-13	JPN	SGP	2002	200	East Asia	Bilateral	No	Yes
EU - Jordan	61	1997-11-24	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA JOR LUX NLD PRT SWE		1997	199	Europe; Middle East	Bilateral; One Party is an RTA	Yes	Yes
EU - Croatia	60	2001-10-29	AUT BEL DEU DNK ESP FIN FRA GBR GRC HRV IRL ITA LUX NLD PRT SWE		2001	200	Europe	Bilateral; One Party is an RTA	No	Yes
Southern African Customs Union (SACU)	6	2002-10-21	BWA LSO NAM SWZ ZAF		2002	200	Africa	Plurilateral	No	Yes
Canada - Costa Rica	59	2001-04-23	CAN	CRI	2001	200	North America; Central America	Bilateral	Yes	Yes
EFTA - Singapore	58	2002-06-26	CHE ISL LIE NOR SGP		2002	200	Europe; East Asia	Bilateral; One Party is an RTA	Yes	Yes
EU - Lebanon	57	2002-06-17	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LBN LUX NLD PRT SWE		2002	200	Europe; Middle East	Bilateral; One Party is an RTA	Yes	No
Turkey - Croatia	56	2002-03-13	HRV	TUR	2002	200	Europe	Bilateral	No	Yes
Turkey - Bosnia and Herzegovina	55	2002-07-03	BIH	TUR	2002	200	Europe	Bilateral	No	No
Singapore - Australia	54	2003-02-17	AUS	SGP	2003	200	Oceania; East Asia	Bilateral	Yes	Yes
US - Chile	53	2003-06-06	CHL	USA	2003	200	South America; North America	Bilateral	Yes	Yes
US - Singapore	52	2003-05-06	SGP	USA	2003	200	East Asia; North America	Bilateral	Yes	Yes
China - Hong Kong, China	51	2003-06-29	CHN	HKG	2003	200	East Asia	Bilateral	No	Yes
China - Macao, China	50	2003-10-17	CHN	MAC	2003	200	East Asia	Bilateral	No	Yes
EFTA - Egypt	5	2007-01-27	CHE EGY ISL LIE NOR		2007	200	Africa; Europe	Bilateral; One Party is an RTA	Yes	Yes
Central European Free Trade Agreement (CEFTA) - Accession of Croatia	48	2002-12-05	BGR CZE HRV HUN POL ROU SVK SVN		2002	200	Europe	Plurilateral	No	Yes
Korea, Republic of - Chile	47	2003-02-01	CHL	KOR	2003	200	South America; East Asia	Bilateral	Yes	Yes
Armenia - Ukraine	46	1994-10-07	ARM	UKR	1994	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Armenia - Kazakhstan	45	1999-09-02	ARM	KAZ	1999	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Trans-Pacific Partnership	449	2016-02-03	AUS BRN CAN CHL JPN MEX MYS NZL PER SGP USA VNM		2016	201	East Asia; North America; South America	Plurilateral	Yes	Yes
EU - Ghana	448	2016-07-28	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GHA GRC HRV HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE		2016	201	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Eurasian Economic Union (EAEU) - Viet Nam	447	2015-05-29	ARM BLR KAZ KGZ RUS VNM		2015	201	Commonwealth of Independent States (CIS); East Asia	Bilateral; One Party is an RTA	Yes	No
EFTA - Philippines	446	2016-04-28	CHE ISL LIE NOR PHL		2016	201	Europe; East Asia	Bilateral; One Party is an RTA	Yes	Yes
Turkey - Moldova, Republic of	445	2014-09-11	MDA	TUR	2014	201	Commonwealth of Independent States (CIS); Europe	Bilateral	Yes	Yes
Eurasian Economic Union (EAEU) - Accession of the Kyrgyz Republic	444	2014-12-23	ARM BLR KAZ KGZ RUS		2014	201	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Gulf Cooperation Council (GCC) - Singapore	443	2008-12-15	ARE BHR KWT OMN QAT SAU SGP		2008	200	Middle East; East Asia	Bilateral; One Party is an RTA	Yes	Yes
Canada - Honduras	442	2013-11-05	CAN	HND	2013	201	North America; Central America	Bilateral	Yes	Yes
Eurasian Economic Union (EAEU) - Accession of Armenia	441	2014-10-10	ARM BLR KAZ RUS		2014	201	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Eurasian Economic Union (EAEU)	440	2014-05-29	BLR KAZ RUS		2014	201	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Armenia - Moldova	44	1993-12-24	ARM	MDA	1993	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Singapore - Chinese Taipei	439	2013-11-07	SGP	TWN	2013	201	East Asia	Bilateral	No	Yes
New Zealand - Chinese Taipei	436	2013-07-10	NZL	TWN	2013	201	East Asia; Oceania	Bilateral	Yes	Yes
India - Thailand	435	2003-10-09	IND	THA	2003	200	West Asia; East Asia	Bilateral	Yes	Yes
Ukraine - Montenegro	434	2011-11-18	MNE	UKR	2011	201	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
Russian Federation - Turkmenistan	432	1992-11-11	RUS	TKM	1992	199	Commonwealth of Independent States (CIS)	Bilateral	No	No
Russian Federation - Uzbekistan	431	1992-11-13	RUS	UZB	1992	199	Commonwealth of Independent States (CIS)	Bilateral	No	No
Russian Federation - Serbia	430	2000-08-28	RUS	SRB	2000	200	Commonwealth of Independent States (CIS); Europe	Bilateral	Yes	No
Armenia - Russian Federation	43	1992-09-30	ARM	RUS	1992	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Russian Federation - Belarus - Kazakhstan	429	1995-01-20	BLR KAZ RUS		1995	199	Commonwealth of Independent States (CIS)	Plurilateral	No	No
EU - Rep. of  Moldova	428	2014-06-27	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HRV HUN IRL ITA LTU LUX LVA MDA MLT NLD POL PRT ROU SVK SVN SWE		2014	201	Europe; Commonwealth of Independent States (CIS)	Bilateral; One Party is an RTA	Yes	Yes
EU - Georgia	427	2014-06-27	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GEO GRC HRV HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE		2014	201	Europe; Commonwealth of Independent States (CIS)	Bilateral; One Party is an RTA	Yes	Yes
East African Community (EAC) - Accession of Burundi and Rwanda	426	2007-06-18	KEN TZA UGA		2007	200	Africa	Plurilateral	No	Yes
Japan - Mongolia	425	2015-02-10	JPN	MNG	2015	201	East Asia	Bilateral	No	Yes
Russian Federation - Tajikistan	424	1992-10-10	RUS	TJK	1992	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Russian Federation - Kazakhstan	423	1992-10-22	KAZ	RUS	1992	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Russian Federation - Azerbaijan	422	1992-09-30	AZE	RUS	1992	199	Commonwealth of Independent States (CIS)	Bilateral	No	No
Russian Federation - Republic of Moldova	421	1993-02-09	MDA	RUS	1993	199	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Russian Federation - Belarus	420	1992-11-13	BLR	RUS	1992	199	Commonwealth of Independent States (CIS)	Bilateral	No	No
Armenia - Turkmenistan	42	1995-10-03	ARM	TKM	1995	199	Commonwealth of Independent States (CIS)	Bilateral	No	No
Turkey - Malaysia	419	2014-04-17	MYS	TUR	2014	201	East Asia; Europe	Bilateral	Yes	Yes
Turkey - Mauritius	418	2011-09-09	MUS	TUR	2011	201	Africa; Europe	Bilateral	Yes	Yes
EFTA - Central America (Costa Rica and Panama)	416	2013-06-24	CHE CRI ISL LIE NOR PAN		2013	201	Central America; Europe	Plurilateral; One Party is an RTA	Yes	Yes
EFTA - Montenegro	415	2011-11-14	CHE ISL LIE MNE NOR		2011	201	Europe	Bilateral; One Party is an RTA	No	Yes
Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS)	413	2011-10-18	ARM BLR KAZ KGZ MDA RUS TJK UKR		2011	201	Commonwealth of Independent States (CIS)	Plurilateral	No	No
Japan - Peru	412	2011-05-31	JPN	PER	2011	201	East Asia; South America	Bilateral	Yes	Yes
EU - Papua New Guinea / Fiji	411	2009-07-30	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FJI FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD PNG POL PRT ROU SVK SVN SWE		2009	200	Europe; Oceania	Plurilateral; One Party is an RTA	Yes	Yes
Southern African Development Community (SADC)	41	1996-08-24	AGO BWA LSO MOZ MUS MWI NAM SWZ TZA ZAF ZMB ZWE		1996	199	Africa	Plurilateral	No	Yes
Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU)	409	2008-12-15	ARG BRA BWA LSO NAM PRY SWZ URY ZAF		2008	200	South America; Africa	Bilateral; All Parties are RTAs	Yes	Yes
Hong Kong, China - Chile	408	2012-12-07	CHL	HKG	2012	201	South America; East Asia	Bilateral	Yes	Yes
EFTA - Bosnia and Herzegovina	405	2013-06-24	BIH CHE ISL LIE NOR		2013	201	Europe	Bilateral; One Party is an RTA	No	No
Korea, Republic of - India	404	2009-08-07	IND	KOR	2009	200	West Asia; East Asia	Bilateral	Yes	Yes
The Cross-Straits Economic Cooperation Framework Agreement (ECFA)	403	2010-06-29	CHN	TWN	2010	201	East Asia		No	Yes
EU - Serbia	402	2008-04-29	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SRB SVK SVN SWE		2008	200	Europe	Bilateral; One Party is an RTA	No	No
Rep. of Korea - Viet Nam	401	2015-05-05	KOR	VNM	2015	201	East Asia	Bilateral	No	Yes
Turkey - Montenegro	400	2008-11-26	MNE	TUR	2008	200	Europe	Bilateral	No	Yes
EU - Egypt	40	2001-06-25	AUT BEL CYP CZE DEU DNK EGY ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD POL PRT SVK SVN SWE		2001	200	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Central European Free Trade Agreement (CEFTA) 2006	4	2006-12-19	ALB BGR BIH HRV MDA MKD MNE ROU SRB		2006	200	Europe; Commonwealth of Independent States (CIS)	Plurilateral	Yes	No
Korea, Republic of - Turkey	399	2012-08-01	KOR	TUR	2012	201	East Asia; Europe	Bilateral	Yes	Yes
China - Rep. of Korea	398	2015-06-01	CHN	KOR	2015	201	East Asia	Bilateral	No	Yes
Korea, Republic of -  Colombia	397	2013-02-21	COL	KOR	2013	201	South America; East Asia	Bilateral	Yes	Yes
Canada - Ukraine	396	2016-07-11	CAN	UKR	2016	201	North America; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
EU - Colombia and Peru	395	2012-06-26	AUT BEL BGR COL CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD PER POL PRT ROU SVK SVN SWE		2012	201	Europe; South America	Plurilateral; One Party is an RTA	Yes	Yes
EFTA - Hong Kong, China	394	2011-06-21	CHE HKG ISL LIE NOR		2011	201	East Asia; Europe	Bilateral; One Party is an RTA	Yes	Yes
Chile - Viet Nam	393	2011-11-11	CHL	VNM	2011	201	South America; East Asia	Bilateral	Yes	Yes
EU - Ukraine	392	2014-06-27	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HRV HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE UKR		2014	201	Europe; Commonwealth of Independent States (CIS)	Bilateral; One Party is an RTA	Yes	Yes
EU - Cameroon	391	2009-01-15	AUT BEL BGR CMR CYP CZE DEU DNK ESP EST FIN FRA GBR GRC HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE		2009	200	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Costa Rica - Singapore	390	2010-04-06	CRI	SGP	2010	201	Central America; East Asia	Bilateral	Yes	Yes
